source,row_id,reason,logged_at
customers,12,email is null,2026-06-18T19:11:34.182292
customers,13,email is null,2026-06-18T19:11:34.182547
customers,36,email is null,2026-06-18T19:11:34.182841
customers,62,email is null,2026-06-18T19:11:34.183081
customers,77,email is null,2026-06-18T19:11:34.183312
customers,103,email is null,2026-06-18T19:11:34.183559
customers,110,email is null,2026-06-18T19:11:34.183821
customers,141,email is null,2026-06-18T19:11:34.184080
customers,167,email is null,2026-06-18T19:11:34.184427
customers,202,email is null,2026-06-18T19:11:34.184663
customers,222,email is null,2026-06-18T19:11:34.184880
customers,252,email is null,2026-06-18T19:11:34.185081
customers,268,email is null,2026-06-18T19:11:34.185244
customers,301,email is null,2026-06-18T19:11:34.185406
customers,321,email is null,2026-06-18T19:11:34.185683
customers,351,email is null,2026-06-18T19:11:34.185918
customers,353,email is null,2026-06-18T19:11:34.186082
customers,398,email is null,2026-06-18T19:11:34.186240
customers,403,email is null,2026-06-18T19:11:34.186397
customers,429,email is null,2026-06-18T19:11:34.186552
customers,441,email is null,2026-06-18T19:11:34.186711
customers,473,email is null,2026-06-18T19:11:34.186866
customers,484,email is null,2026-06-18T19:11:34.187024
customers,506,email is null,2026-06-18T19:11:34.187177
customers,529,email is null,2026-06-18T19:11:34.187348
customers,537,email is null,2026-06-18T19:11:34.187501
customers,548,email is null,2026-06-18T19:11:34.187654
customers,638,email is null,2026-06-18T19:11:34.187821
customers,696,email is null,2026-06-18T19:11:34.188212
customers,700,email is null,2026-06-18T19:11:34.188538
customers,12,email is null,2026-06-18T19:11:34.188791
customers,13,email is null,2026-06-18T19:11:34.189055
products,1,product is inactive,2026-06-18T19:11:35.115173
products,3,product is inactive,2026-06-18T19:11:35.115617
products,4,product is inactive,2026-06-18T19:11:35.115890
products,10,product is inactive,2026-06-18T19:11:35.116221
products,12,product is inactive,2026-06-18T19:11:35.116517
products,13,product is inactive,2026-06-18T19:11:35.116970
products,14,product is inactive,2026-06-18T19:11:35.117328
products,16,product is inactive,2026-06-18T19:11:35.117563
products,20,product is inactive,2026-06-18T19:11:35.117747
products,22,product is inactive,2026-06-18T19:11:35.118021
products,23,product is inactive,2026-06-18T19:11:35.118330
products,24,product is inactive,2026-06-18T19:11:35.118584
products,27,product is inactive,2026-06-18T19:11:35.118865
products,28,product is inactive,2026-06-18T19:11:35.119101
products,35,product is inactive,2026-06-18T19:11:35.119379
products,40,product is inactive,2026-06-18T19:11:35.119730
products,41,product is inactive,2026-06-18T19:11:35.120036
products,43,product is inactive,2026-06-18T19:11:35.120297
products,44,product is inactive,2026-06-18T19:11:35.120633
products,45,product is inactive,2026-06-18T19:11:35.120999
products,46,product is inactive,2026-06-18T19:11:35.121386
products,48,product is inactive,2026-06-18T19:11:35.121749
products,49,product is inactive,2026-06-18T19:11:35.122069
products,50,product is inactive,2026-06-18T19:11:35.122377
products,51,product is inactive,2026-06-18T19:11:35.122724
products,53,product is inactive,2026-06-18T19:11:35.123099
products,54,product is inactive,2026-06-18T19:11:35.123503
products,55,product is inactive,2026-06-18T19:11:35.123871
products,56,product is inactive,2026-06-18T19:11:35.124126
products,59,product is inactive,2026-06-18T19:11:35.124305
products,60,product is inactive,2026-06-18T19:11:35.124512
products,62,product is inactive,2026-06-18T19:11:35.124914
products,64,product is inactive,2026-06-18T19:11:35.125207
products,69,product is inactive,2026-06-18T19:11:35.125538
products,70,product is inactive,2026-06-18T19:11:35.125902
products,71,product is inactive,2026-06-18T19:11:35.126272
products,74,product is inactive,2026-06-18T19:11:35.126653
products,75,product is inactive,2026-06-18T19:11:35.126953
products,76,product is inactive,2026-06-18T19:11:35.127343
products,77,product is inactive,2026-06-18T19:11:35.127728
products,78,product is inactive,2026-06-18T19:11:35.128128
products,79,product is inactive,2026-06-18T19:11:35.128424
products,80,product is inactive,2026-06-18T19:11:35.128676
products,81,product is inactive,2026-06-18T19:11:35.129030
products,82,product is inactive,2026-06-18T19:11:35.129327
products,83,product is inactive,2026-06-18T19:11:35.129649
products,89,product is inactive,2026-06-18T19:11:35.130085
products,90,product is inactive,2026-06-18T19:11:35.130534
products,93,product is inactive,2026-06-18T19:11:35.130904
products,94,product is inactive,2026-06-18T19:11:35.131401
products,96,product is inactive,2026-06-18T19:11:35.131817
products,98,product is inactive,2026-06-18T19:11:35.132271
products,99,product is inactive,2026-06-18T19:11:35.132733
products,100,product is inactive,2026-06-18T19:11:35.133109
products,101,product is inactive,2026-06-18T19:11:35.133408
products,102,product is inactive,2026-06-18T19:11:35.133699
products,103,product is inactive,2026-06-18T19:11:35.134018
products,104,product is inactive,2026-06-18T19:11:35.134346
products,106,product is inactive,2026-06-18T19:11:35.134627
products,108,product is inactive,2026-06-18T19:11:35.134894
products,110,product is inactive,2026-06-18T19:11:35.135132
products,111,product is inactive,2026-06-18T19:11:35.135643
products,113,product is inactive,2026-06-18T19:11:35.136190
products,114,product is inactive,2026-06-18T19:11:35.136467
products,121,product is inactive,2026-06-18T19:11:35.136751
products,123,product is inactive,2026-06-18T19:11:35.137099
products,125,product is inactive,2026-06-18T19:11:35.137530
products,126,product is inactive,2026-06-18T19:11:35.137928
products,127,product is inactive,2026-06-18T19:11:35.138281
products,128,product is inactive,2026-06-18T19:11:35.138723
products,129,product is inactive,2026-06-18T19:11:35.139124
products,131,product is inactive,2026-06-18T19:11:35.139404
products,135,product is inactive,2026-06-18T19:11:35.139719
products,136,product is inactive,2026-06-18T19:11:35.139990
products,140,product is inactive,2026-06-18T19:11:35.140206
products,141,product is inactive,2026-06-18T19:11:35.140400
products,143,product is inactive,2026-06-18T19:11:35.140657
products,144,product is inactive,2026-06-18T19:11:35.140984
products,148,product is inactive,2026-06-18T19:11:35.141509
products,150,product is inactive,2026-06-18T19:11:35.141956
products,151,product is inactive,2026-06-18T19:11:35.142484
products,152,product is inactive,2026-06-18T19:11:35.142929
products,153,product is inactive,2026-06-18T19:11:35.143239
products,156,product is inactive,2026-06-18T19:11:35.143614
products,157,product is inactive,2026-06-18T19:11:35.143967
products,164,product is inactive,2026-06-18T19:11:35.144304
products,165,product is inactive,2026-06-18T19:11:35.144767
products,167,product is inactive,2026-06-18T19:11:35.145214
products,168,product is inactive,2026-06-18T19:11:35.145766
products,170,product is inactive,2026-06-18T19:11:35.146132
products,171,product is inactive,2026-06-18T19:11:35.146614
products,172,product is inactive,2026-06-18T19:11:35.147089
products,176,product is inactive,2026-06-18T19:11:35.147564
products,177,product is inactive,2026-06-18T19:11:35.148032
products,181,product is inactive,2026-06-18T19:11:35.148452
products,183,product is inactive,2026-06-18T19:11:35.148845
products,184,product is inactive,2026-06-18T19:11:35.149159
products,186,product is inactive,2026-06-18T19:11:35.149494
products,187,product is inactive,2026-06-18T19:11:35.149857
products,189,product is inactive,2026-06-18T19:11:35.150272
products,190,product is inactive,2026-06-18T19:11:35.150853
products,191,product is inactive,2026-06-18T19:11:35.151240
products,193,product is inactive,2026-06-18T19:11:35.151615
products,194,product is inactive,2026-06-18T19:11:35.152061
products,195,product is inactive,2026-06-18T19:11:35.152506
products,197,product is inactive,2026-06-18T19:11:35.152887
products,198,product is inactive,2026-06-18T19:11:35.153272
products,199,product is inactive,2026-06-18T19:11:35.153656
products,205,product is inactive,2026-06-18T19:11:35.154017
products,206,product is inactive,2026-06-18T19:11:35.154426
products,208,product is inactive,2026-06-18T19:11:35.154782
products,209,product is inactive,2026-06-18T19:11:35.155036
products,210,product is inactive,2026-06-18T19:11:35.155374
products,211,product is inactive,2026-06-18T19:11:35.155746
products,212,product is inactive,2026-06-18T19:11:35.156024
products,213,product is inactive,2026-06-18T19:11:35.156318
products,215,product is inactive,2026-06-18T19:11:35.156618
products,216,product is inactive,2026-06-18T19:11:35.156944
products,217,product is inactive,2026-06-18T19:11:35.157285
products,218,product is inactive,2026-06-18T19:11:35.157684
products,222,product is inactive,2026-06-18T19:11:35.158040
products,223,product is inactive,2026-06-18T19:11:35.158298
products,225,product is inactive,2026-06-18T19:11:35.158523
products,226,product is inactive,2026-06-18T19:11:35.158774
products,229,product is inactive,2026-06-18T19:11:35.158973
products,232,product is inactive,2026-06-18T19:11:35.159314
products,236,product is inactive,2026-06-18T19:11:35.159645
products,239,product is inactive,2026-06-18T19:11:35.159937
products,244,product is inactive,2026-06-18T19:11:35.160300
products,245,product is inactive,2026-06-18T19:11:35.160768
products,246,product is inactive,2026-06-18T19:11:35.161171
